"Powertrain","Year","Region","chemistry","MWh","chem_share_mwh"
"BEV","2013","Other Asia Pacific","NMC 111",8.16712208485423,0.0209341673848503
"BEV","2013","Other Asia Pacific","LMO",324.4081,0.831530788427349
"BEV","2013","Other Asia Pacific","LFP",3.6504,0.0093567946980214
"BEV","2013","Other Asia Pacific","NMC 622",26.0827459744821,0.0668559333891829
"BEV","2013","Other Asia Pacific","NMC 532",12.3211184474714,0.0315817926153282
"BEV","2013","Other Asia Pacific","NMC 811",15.5041134931922,0.0397405234852682
"BEV","2013","Other Europe","NMC 532",0.066,1
"BEV","2013","Other Latin America and Caribbean","LMO",0.288,1
"BEV","2013","South Korea","NMC 111",8.16712208485423,0.0209341673848503
"BEV","2013","South Korea","LMO",324.4081,0.831530788427349
"BEV","2013","South Korea","LFP",3.6504,0.0093567946980214
"BEV","2013","South Korea","NMC 622",26.0827459744821,0.0668559333891829
"BEV","2013","South Korea","NMC 532",12.3211184474714,0.0315817926153282
"BEV","2013","South Korea","NMC 811",15.5041134931922,0.0397405234852682
"BEV","2013","United Kingdom","NMC 111",34.0930518419912,0.0319444999165537
"BEV","2013","United Kingdom","LMO",398.2966,0.373195857162681
"BEV","2013","United Kingdom","LFP",3,0.00281093931378787
"BEV","2013","United Kingdom","NMC 622",99.760060387525,0.0934731585630487
"BEV","2013","United Kingdom","NMC 532",214.00737482837,0.200520581115201
"BEV","2013","United Kingdom","NMC 811",26.0518129421136,0.0244100217314783
"BEV","2013","United Kingdom","NCA",292.05,0.273644942197249
"BEV","2013","United States","NMC 111",6.41045349835531,0.00306622466650365
"BEV","2013","United States","LMO",553.92,0.264948988040465
"BEV","2013","United States","NMC 622",65.3722663356111,0.0312686232877165
"BEV","2013","United States","NMC 532",21.6274587119305,0.0103447669331545
"BEV","2013","United States","NMC 811",27.214621454103,0.013017198176937
"BEV","2013","United States","NCA",1416.1218,0.677354198895223
"BEV","2014","ASEAN","LMO",0.0122,0.0409121395036888
"BEV","2014","ASEAN","NMC 532",0.286,0.959087860496311
"BEV","2014","Africa","LMO",3.5735,1
"BEV","2014","Australia/NZ","NMC 111",0.0460626830021572,0.00421009807167144
"BEV","2014","Australia/NZ","LMO",5.04,0.460652591170825
"BEV","2014","Australia/NZ","NMC 622",0.32897973553638,0.0300685253209378
"BEV","2014","Australia/NZ","NMC 532",0.15540535081418,0.0142039439552308
"BEV","2014","Australia/NZ","NMC 811",0.195552230647282,0.0178733416184336
"BEV","2014","Australia/NZ","NCA",5.175,0.472991499862901
"BEV","2014","Brazil","NMC 111",0.0456819996715609,0.0190460703237694
